=== Real Canadian Superstore Flyer Fetch — 2026-04-23 ===
Run started : 2026-04-23 13:43:35 UTC

Loaded 124 stores from data/real_canadian_superstore/stores.json

Stores loaded: 124
Loaded existing store_flyers.json (840 publication entries)

Phase 1: fetching publications per store…

  [1] Vancouver-Marine → no new flyers
  [24] Testing Store → no new flyers
  [512] Wasaga Beach Superstore → ['7888979', '7888250']
  [551] St Thomas Superstore → ['7888979', '7888250']
  [562] Chatham Superstore → ['7888979', '7888250']
  [566] Leamington Superstore → ['7888979', '7888250']
  [567] Walker Road Superstore → ['7888979', '7888250']
  [569] Midland Superstore → ['7888979', '7888250']
  [577] St. Catherine's Superstore → ['7888979', '7888250']
  [1009] Westboro Superstore → ['7888980', '7888250']
  [1012] Ajax Superstore → ['7888980', '7888250']
  [1017] Brockville Superstore → ['7888985', '7888250']
  [1018] NEWMARKET → ['7888986', '7888250']
  [1024] OAKVILLE → ['7888980', '7888250']
  [1030] AURORA → ['7888986', '7888250']
  [1033] TORONTO → ['7888989', '7888250']
  [1043] Oshawa Superstore → ['7888979', '7888250']
  [1058] Whitby Superstore → ['7888979', '7888250']
  [1071] South Orleans Superstore → ['7888980', '7888250']
  [1077] TORONTO → ['7888980', '7888250']
  [1080] MISSISSAUGA → ['7888980', '7888250']
  [1091] Oxford & Gammage Superstore → ['7888979', '7888250']
  [1502] EDMONTON → ['7889008', '7888251']
  [1503] RCSS Click & Collect → ['7889002', '7888251']
  [1504] RCSS Click & Collect → ['7889002', '7888251']
  [1505] WINNIPEG → ['7889009', '7888251']
  [1506] WINNIPEG → ['7889003', '7888251']
  [1508] WINNIPEG → ['7889002', '7888251']
  [1509] WINNIPEG → ['7889010', '7888251']
  [1510] WINKLER → ['7889002', '7888251']
  [1511] WINNIPEG → ['7889010', '7888251']
  [1512] WINNIPEG → ['7889002', '7888251']
  [1514] WINNIPEG → ['7889003', '7888251']
  [1515] BRANDON → ['7889002', '7888251']
  [1516] WINNIPEG → ['7889006', '7888251']
  [1517] VANCOUVER → ['7889013', '7888251']
  [1518] BURNABY → ['7889011', '7888251']
  [1519] COQUITLAM → ['7889004', '7888251']
  [1520] VANCOUVER → ['7889012', '7888251']
  [1521] NORTH SURREY/NORTH DELTA → ['7889011', '7888251']
  [1522] KAMLOOPS → ['7889002', '7888251']
  [1523] CHILLIWACK → ['7889004', '7888251']
  [1524] CAMPBELL RIVER → ['7889002', '7888251']
  [1525] NANAIMO → ['7889002', '7888251']
  [1526] COQUITLAM → ['7889005', '7888251']
  [1527] VICTORIA → ['7889002', '7888251']
  [1528] RCSS Click & Collect → ['7889002', '7888251']
  [1530] RCSS Click & Collect → ['7889002', '7888251']
  [1531] RCSS Click & Collect → ['7889002', '7888251']
  [1532] RCSS Click & Collect → ['7889002', '7888251']
  [1533] Regina-Albert → ['7889002', '7888251']
  [1535] SASKATOON → ['7889003', '7888251']
  [1536] SASKATOON → ['7889002', '7888251']
  [1537] Edmonton Heritage Superstore → ['7889009', '7888251']
  [1538] EDMONTON → ['7889002', '7888251']
  [1539] CALGARY → ['7889002', '7888251']
  [1540] RCSS Click & Collect → ['7889002', '7888251']
  [1541] RCSS Click & Collect → ['7889002', '7888251']
  [1542] RCSS Click & Collect → ['7889009', '7888251']
  [1543] RCSS Click & Collect → ['7889009', '7888251']
  [1544] RCSS Click & Collect → ['7889003', '7888251']
  [1545] CALGARY → ['7889003', '7888251']
  [1546] CALGARY → ['7889003', '7888251']
  [1547] RCSS Click & Collect → ['7889002', '7888251']
  [1548] FORT MCMURRAY → ['7889002', '7888251']
  [1549] EDMONTON → ['7889002', '7888251']
  [1550] RCSS Click & Collect → ['7889002', '7888251']
  [1551] White Rock → ['7889004', '7888251']
  [1552] RCSS Click & Collect → ['7889002', '7888251']
  [1553] RCSS Click & Collect → ['7889002', '7888251']
  [1554] RCSS Click & Collect → ['7889011', '7888251']
  [1555] RCSS Click & Collect → ['7889004', '7888251']
  [1556] RCSS Click & Collect → ['7889011', '7888251']
  [1557] RICHMOND → ['7889011', '7888251']
  [1558] RCSS Click & Collect → ['7889005', '7888251']
  [1559] RCSS Click & Collect → ['7889004', '7888251']
  [1560] RCSS Click & Collect → ['7889004', '7888251']
  [1561] LANGLEY → ['7889005', '7888251']
